event_id,event_name,year_start,year_end,event_type,event_type_secondary,scope,is_scenario,affected_countries_iso3,affected_regions,affected_sectors,duration_months,gdp_impact_percent,trade_impact_percent,inflation_impact_percent,market_impact_percent,recovery_time_months,confidence,graph_nodes_affected_in_geds,shock_origin_nodes,estimated_initial_shock_strength,duration_weeks,benchmark_actual_peak_impact,benchmark_actual_total_loss,benchmark_countries_affected_count,validation_targets_v2_rows,validation_targets_expanded_rows,literature_papers_corroborating,source,peer_reviewed_evidence_count,paper_ids,has_direct_quantitative_support,best_estimate_gdp,best_estimate_trade,best_estimate_inflation,best_estimate_market,evidence_confidence
1,Dot-com Bubble Collapse & US Recession,2000,2001,Financial Crisis,,country,false,USA;DEU;JPN;KOR;GBR;FRA,,technology;telecommunications;financial,30,4.800,1.000,,77.000,,4,UNCERTAIN,UNCERTAIN,0.48,130,4.800,12.000,6,0,5,,Goldman Sachs Historical Moments; S&P Global Market Intelligence (2025)[^1]; EBSCO Research Starters[^3]; NBER,,,,,,,,
2,Argentine Sovereign Default & Currency Crisis,2001,2002,Financial Crisis,,country,false,ARG;BRA;URY;BOL,,financial;government;agriculture;manufacturing,48,11.000,40.000,41.000,75.000,,5,UNCERTAIN,UNCERTAIN,1.00,209,11.000,44.000,4,0,1,,"IMF eLibrary: ""Lessons from the Crisis in Argentina""[^4]; World Bank: Restoring Economic Growth in Argentina[^6]; CEPR[^5]",,,,,,,,
3,SARS Epidemic,2002,2003,Pandemic,,global,false,CHN;HKG;TWN;SGP;CAN,global via trade channels,tourism;consumer_goods;aerospace,8,2.600,50.000,,18.000,,4,CHN:consumer_goods,CHN:consumer_goods,0.26,35,2.600,1.733,5,0,1,,Australian Treasury Economic Roundup[^7]; NIH National Library of Medicine[8][9]; ADB Working Paper EWP-591[^10],,,,,,,,
4,Iraq War & Associated Oil Price Spike,2003,2008,War,Energy Crisis,global,false,USA;IRQ,global via oil markets,energy;defense;government;shipping;agriculture,1,-0.500,,0.750,,,3,USA:shipping,IRQ:energy,0.05,4,0.500,0.042,2,0,2,,JEC Senate: Iraq Economic Costs Report[^11]; NBER Working Paper W12054[^12]; Real Instituto Elcano[^13],,,,,,,,
5,Indian Ocean Earthquake and Tsunami,2004,2004,Natural Disaster,,country,false,IDN;LKA;IND;THA;MDV;MMR;MYS;SOM;KEN;BGD;SYC,,agriculture;tourism;construction;real_estate,120,15.000,,,,,5,UNCERTAIN,IDN:consumer_goods,1.00,521,15.000,150.000,11,0,2,,IMF/World Bank Joint Preliminary Assessment[^14]; World Bank GFDRR[^15]; Asian Development Bank[^16]; ScienceDirect (Aceh long-term)[^17],,,,,,,,
6,Hurricane Katrina & Rita,2005,2005,Natural Disaster,,country,false,USA,,energy;shipping;financial;real_estate;tourism,18,3.100,,30.000,,,5,USA:shipping,USA:energy;USA:shipping,0.31,78,3.100,4.650,1,0,1,,CBO: Macroeconomic and Budgetary Effects of Hurricanes Katrina and Rita[20][21]; US Economic Report of the President 2006[^18],,,,,,,,
7,Global Financial Crisis,2007,2009,Financial Crisis,,global,false,,Global,financial;real_estate;automotive;manufacturing,18,-1.300,12.000,-0.400,57.000,,5,UNCERTAIN,USA:financial,0.13,78,1.300,1.950,0,20,3,,IMF World Economic Outlook April 2009[^22]; IMF eLibrary: Global Financial Crisis[^24]; UK Government DfID: Effects on developing countries[^23]; IMF Annual Report 2008[^26],3,P-IMF-WEFS-2014-Ch7;P-CEPR-Baldwin-2009;P-OECD-2009-Reform,true,-0.3,-15,,,3.67
8,H1N1 Swine Flu Pandemic,2009,2010,Pandemic,,global,false,,Global,healthcare;tourism;aerospace;consumer_goods,16,-0.500,30.000,,15.000,,3,UNCERTAIN,UNCERTAIN,0.05,70,0.500,0.667,0,0,0,,World Bank H1N1 Fast-Track Response[^29]; NIH PMC: Macroeconomic impact of pandemic influenza[^28]; HTJ Tax economic analysis[^27],,,,,,,,
9,European Sovereign Debt Crisis,2010,2015,Financial Crisis,,regional,false,GRC;PRT;IRL;ESP;CYP;DEU;FRA;ITA;NLD;BEL,broader Eurozone,financial;government,60,-26.000,,,55.000,,5,UNCERTAIN,UNCERTAIN,1.00,261,26.000,130.000,10,0,6,,IMF Greece Country Report[^31]; IMF Survey: Greece Reforms[^30]; Wikipedia Euro area crisis[^32],,,,,,,,
10,Arab Spring Political Upheaval,2010,2012,War,Sanctions,regional,false,TUN;EGY;LBY;YEM;SYR;BHR;SAU;ARE;ISR;TUR,broader MENA region,energy;tourism;government;agriculture,,50.000,,,20.000,,3,UNCERTAIN,UNCERTAIN,1.00,UNCERTAIN,50.000,,10,0,1,,Business Insider: Arab Spring costs MENA[^33]; World Bank Global Economic Prospects June 2011[^34]; Atlantic Council: Economic Consequences[^35],,,,,,,,
