id,slug,name_ru,name_en,type,start_date,end_date,countries_iso3,industries_geds,shock_mechanism,channels,chokepoints,delta_gdp_pct,delta_output_pct,delta_trade_pct,delta_cpi_pct,delta_unemployment_pct,shortage_indicator,recovery_weeks,companies,loss_usd_billions,sources,in_geds_graph,target_node_geds,shock_magnitude_geds,duration_weeks_geds,notes
1,covid-semiconductor-2020-2021,Дефицит полупроводников из-за COVID,COVID-19 semiconductor supply shock,pandemic-supply,2020-03-15,2021-12-31,TWN;USA;CHN;JPN;KOR;DEU,semiconductors;automotive;electronics,Pandemic-driven demand reallocation + foundry capacity bottlenecks,Wafer fab disruption + container shortage,CP:TaiwanStrait,missing,0.115,missing,missing,missing,high,52,TSMC;Samsung;Intel;Toyota;VW,210,SIA State of the Industry 2021; McKinsey 2021 semiconductor report; Goldman Sachs 2021,yes,TWN:semiconductors,0.60,40,Auto-industry production loss 11.5% per IHS Markit 2021 estimate
2,suez-canal-2021,Блокировка Суэцкого канала Ever Given,Suez Canal blockage by Ever Given,logistics-chokepoint,2021-03-23,2021-03-29,global,shipping;automotive;electronics;consumer_goods,Container ship grounding blocking canal,Maritime shipping (12% of global trade transits Suez),CP:Suez,missing,0.008,missing,missing,missing,low,1,Maersk;CMA CGM;Evergreen;Suez Canal Authority,57,Allianz Risk Barometer 2022; Lloyd's List Intelligence; Bloomberg 2021,yes,CP:Suez,0.85,1,Total trade loss USD 9.6B per day × 6 days = USD 57B per Allianz estimate
3,auto-chip-shortage-2021,Авто-чиповый кризис 2021,Automotive chip shortage 2021,supply-chain-bottleneck,2021-01-01,2022-06-30,USA;DEU;JPN;KOR;MEX,semiconductors;automotive,JIT inventory collapse + foundry priority allocation to consumer electronics,Tier-1 auto chip supply (NXP;Infineon;Renesas),missing,missing,0.077,missing,missing,missing,high,72,GM;Ford;VW;Toyota;Honda,210,AlixPartners 2021 estimate USD 210B revenue loss; IHS Markit Q3 2021,yes,TWN:semiconductors,0.55,32,Industry-wide auto production cut 7.7% per AFS Mobility tracker
4,japan-triple-disaster-2011,Тройное бедствие Тохоку (землетрясение+цунами+Фукусима),Japan triple disaster (Tohoku earthquake + tsunami + Fukushima),natural-disaster,2011-03-11,2011-09-30,JPN,automotive;electronics;semiconductors,Magnitude 9.0 earthquake + tsunami + nuclear meltdown disrupted Tier-1 supply,Auto + electronics + chemicals supply chains; rolling blackouts,missing,0.009,0.039,missing,missing,missing,medium,16,Toyota;Nissan;Honda;Renesas;Shin-Etsu Chemical,235,METI Japan 2011 white paper; Bank of Japan economic outlook 2011; OECD Economic Survey Japan 2011,yes,JPN:automotive,0.55,8,Auto production loss 3.9% peak per OECD STAN
5,us-china-tariffs-2019,Торговая война США-Китай (волна тарифов 2019),US-China tariffs escalation 2019,trade-war,2018-07-06,2019-12-15,USA;CHN,semiconductors;electronics;consumer_goods;automotive,Multi-round tariffs USTR Section 301; Chinese retaliation,Bilateral trade flows; multinational supply-chain restructuring,missing,missing,0.020,missing,0.005,missing,low,52,Apple;Huawei;Cisco;Boeing,missing,USTR Section 301 reports 2018-2019; Bown 2020 PIIE working paper,yes,CHN:electronics,0.20,52,Auto sector cross-border production -2% per Bown PIIE 2020
6,texas-winter-storm-2021,Зимний шторм в Техасе (Uri),Texas winter storm Uri,natural-disaster,2021-02-13,2021-02-20,USA,semiconductors;automotive;energy,Polar vortex + grid failure + frozen LNG terminals,Power supply to semiconductor fabs (Samsung Austin;NXP;Infineon),missing,missing,0.005,missing,missing,missing,low,4,Samsung;NXP;Infineon;Dow,missing,ERCOT 2021 review; Texas A&M Bush School 2021 storm impact analysis,yes,USA:semiconductors,0.30,2,Semi industry impact small per Bain & Co Q2 2021
7,eu-energy-crisis-2021,Энергокризис в ЕС (осень-зима 2021),EU energy crisis fall-winter 2021,energy-price-shock,2021-09-01,2022-03-31,DEU;NLD,energy;automotive,TTF gas price spike 5x baseline; restricted Russian flows pre-war,Energy-intensive industry production cuts (chemicals;metals;fertilizers),missing,missing,0.015,missing,0.025,missing,medium,26,BASF;Yara;ArcelorMittal,missing,IEA Gas Quarterly Review Q1 2022; Bruegel 2022 energy crisis tracker,yes,DEU:automotive,0.25,26,Industrial output drop ~1.5% per Bundesbank monthly report
8,malaysia-semiconductor-2021,Полупроводниковый кризис Малайзии (COVID-волна),Malaysia semiconductor disruption COVID wave,pandemic-supply,2021-06-01,2021-10-31,MYS,semiconductors;electronics,COVID-19 lockdowns at chip assembly/test plants in Penang,Backend assembly+test for global chip supply (Infineon;ST;NXP),missing,missing,0.012,missing,missing,missing,medium,20,Infineon;STMicroelectronics;NXP;Renesas,missing,Reuters 2021 Malaysia chip coverage; Nikkei Asia 2021 supply tracker,yes,MYS:electronics,0.40,16,Backend chip output disruption per Renesas Q3 2021 earnings
9,9-11-terrorism-2001,Теракты 11 сентября 2001 (США),September 11 terrorist attacks,terrorism,2001-09-11,2001-09-13,USA,aviation;insurance;tourism,Coordinated hijackings of 4 aircraft + ground-stop of US aviation,US national airspace closure 3 days; aviation insurance crisis; consumer confidence collapse,missing,missing,missing,missing,missing,missing,high,missing,American Airlines;United Airlines;Boeing;Marsh & McLennan,40,GAO-02-156 report 2001; Bureau of Transportation Statistics 2002; Insurance Information Institute 2011,no,missing,missing,missing,Aviation sector not in GEDS graph; map to consumer_goods or skip until graph expansion
10,sars-2003,Эпидемия SARS 2003,SARS epidemic 2003,pandemic-services,2003-02-01,2003-07-31,CHN;HKG;SGP;CAN,tourism;aviation;retail,SARS-CoV-1 spread + travel restrictions across Asia,Asian aviation;hospitality;cross-border services trade,missing,missing,missing,missing,missing,missing,medium,missing,Singapore Airlines;Cathay Pacific;Marriott,40,WHO SARS final report 2003; World Bank EAP Update Sep 2003; Lee&McKibbin 2004 Brookings paper,no,missing,missing,missing,Services-sector shock; GEDS is manufacturing graph; needs services sector expansion
