parameter_id,name_ru,name_en,description_ru,range_low,range_high,unit,sector_scope,literature_source,confidence,notes
demand_elasticity,Эластичность спроса,Demand price elasticity,Отклик количества спроса на 1% изменение цены,-1.50,-0.40,dimensionless,consumer_goods,Houthakker & Taylor 1970; OECD Goods & Services Elasticity Database 2018,high,Краткосрочно ниже долгосрочной; для критических импортов абс. значение <0.5
supply_elasticity,Эластичность предложения,Supply price elasticity,Отклик количества предложения на 1% изменение цены,0.30,1.50,dimensionless,manufacturing,Hendry 1995; Imbs & Mejean 2017 AER,medium,Кратко-срок <1 (жесткие капитальные ограничения)
pass_through,Pass-through импортной инфляции,Import price pass-through to CPI,Доля шока импортных цен передающаяся в потребительские цены,0.15,0.65,dimensionless,all,"Campa & Goldberg 2005 REStat; ECB Working Paper No 1799",medium,Зависит от валютного режима и доли торгуемых товаров
resilience_lpi,Индекс устойчивости (LPI-based),Resilience score (LPI-derived),Способность поглощать шок без эскалации,0.10,0.90,index,all,World Bank Logistics Performance Index 2018; конверсия в GEDS,high,Формула: resilience = 0.20 + 0.60 × (LPI − 3.05) / 1.15
recovery_delay_weeks,Срок восстановления (недели),Recovery delay in weeks,Время от шока до возврата на 50% baseline,2,18,weeks,industry-specific,Bank of Japan 2011 Tohoku post-mortem; McKinsey 2020 supply-chain resilience report,medium,Auto 4-6 нед; полупроводники 10-16 нед; аэрокосм 12-26 нед
bullwhip_amplification,Bullwhip-эффект (амплификация),Bullwhip amplification factor,Усиление дисперсии заказов вверх по цепочке,1.10,4.00,dimensionless,all,"Lee Padmanabhan Whang 1997 Management Science; Cachon Randall Schmidt 2007",medium,Сильнее в дисретных дискретных рынках с длинными лагами
inventory_weeks_auto,Запас (недели) автопром,Inventory buffer weeks automotive,Запас сырья и компонентов на складе автопроизводителя,3,7,weeks,automotive,IHS Markit 2020 inventory survey; Toyota TPS literature,high,JIT принципы; типично 5 недель
inventory_weeks_semi,Запас (недели) полупроводники,Inventory buffer weeks semiconductors,Запас на каждой стадии: wafer-foundry-OSAT-customer,8,16,weeks,semiconductors,SEMI Industry Outlook 2021; IPC Material Constraint Survey Q3 2021,high,Длинный wafer cycle (~12 нед) + buffer
inventory_weeks_aero,Запас (недели) аэрокосмос,Inventory buffer weeks aerospace,Запас длинных-цикловых компонентов,8,20,weeks,aerospace,Airbus Annual Report 2019; Boeing 787 supply-chain disclosures,medium,High BOM complexity; cycle до 18 нед
substitution_difficulty,Сложность субституции,Substitution difficulty,Стоимость и время смены поставщика на альтернативного,0.20,0.95,dimensionless,critical-inputs,USITC Section 332 industrial reports; OECD STAN structural surveys,low,Высоко для advanced semi (TSMC monopoly); низко для коммодитис
distress_threshold,Порог технического дефолта,Distress threshold,Доля выпадения выпуска свыше которой растёт риск дефолта,0.30,0.60,fraction,corporate,Altman Z-score literature; Moody's Industry Default Studies 2018-2022,medium,Зависит от leverage и cash buffer; 0.40 — типичная середина
reroute_cost_multiplier_suez,Множитель стоимости обхода Суэца,Suez rerouting cost multiplier,Дополнительная стоимость маршрута мимо Суэца через Мыс Доброй Надежды,1.25,1.45,multiplier,shipping,IEA Oil Market Report 2021; Lloyd's Route Risk Index 2022,medium,+14 days voyage; +$400-600k fuel per ship; среднее ~1.35
reroute_cost_multiplier_hormuz,Множитель стоимости обхода Ормуза,Hormuz rerouting cost multiplier,Стоимость альтернативного маршрута экспорта нефти/LNG,1.80,2.50,multiplier,energy,EIA 2019 World Oil Transit Chokepoints; CSIS 2020 Strait of Hormuz study,low,Нет полноценной альтернативы; ценовой шок 80-150%
elasticity_output_to_shock,Эластичность выпуска к шоку,Output-to-shock elasticity,Доля шока перепалзывающая в потерю выпуска,0.40,0.85,fraction,industry-specific,OECD STAN 2019 sector elasticity tables; ECLAC 2020 LATAM elasticities,medium,Автомобили 0.76; полупроводники 0.72; розница 0.46
labor_intensity,Трудоёмкость,Labor intensity,Доля выпуска приходящаяся на труд,0.30,0.70,fraction,industry-specific,BLS Industry Productivity tables; Eurostat structural business stats,high,Auto 0.66; semi 0.32; consumer goods 0.60
