slug,affected_country_iso3,affected_sector,onset_week,effect,magnitude_hint,source_url
covid-semiconductor-2020-2021,USA,automotive,4,output_loss,GM Fairfax plant idled Feb 2021; Ford parks unfinished F-150s; IHS Markit: 1.3M fewer vehicles Q1 2021,https://www.bloomberg.com/news/articles/2021-03-31/chip-shortage-costs-carmakers-output-of-1-3-million-vehicles
covid-semiconductor-2020-2021,JPN,automotive,52,output_loss,"Toyota cuts global Sep 2021 output 40% (~360,000 units); 14 factories stopped; CEO cites SE Asia chip/parts shortage",https://www.reuters.com/business/autos-transportation/toyota-slash-september-production-due-global-chip-shortage-nikkei-2021-08-19/
covid-semiconductor-2020-2021,DEU,automotive,8,output_loss,"VW, Mercedes, Volvo announce line stoppages Q1 2021; VDA: German car output -38% YoY Oct 2021",https://www.eenewseurope.com/en/renesas-fire-exacerbates-chip-shortage-for-auto-industry-3/
auto-chip-shortage-2021,USA,automotive,4,output_loss,GM halts Shreveport; Ford parks unfinished vehicles KY Speedway; IHS: 1.3M units lost Q1 2021,https://www.bloomberg.com/news/articles/2021-03-31/chip-shortage-costs-carmakers-output-of-1-3-million-vehicles
auto-chip-shortage-2021,DEU,automotive,8,output_loss,"VW, Mercedes, Volvo line stoppages Q1-Q2 2021; Renesas fire compounded; VDA -38% Oct 2021",https://www.eenewseurope.com/en/renesas-fire-exacerbates-chip-shortage-for-auto-industry-3/
auto-chip-shortage-2021,JPN,automotive,4,output_loss,Toyota Honda Nissan cut production Q1 2021; Toyota -40% Sep 2021 (~360k units); Nissan -250k FY cut,https://www.reuters.com/business/autos-transportation/toyota-slash-september-production-due-global-chip-shortage-nikkei-2021-08-19/
japan-triple-disaster-2011,JPN,semiconductors,1,output_loss,Shin-Etsu Shirakawa wafer plant shut; ~20% global silicon wafer capacity offline; restart Jul 2011,https://cen.acs.org/articles/89/i28/Shin-Etsu-Restarts-Silicon-Wafer.html
japan-triple-disaster-2011,USA,automotive,2,shutdown,GM suspends Shreveport plant week of Mar 21 due to Japanese parts shortage,https://money.cnn.com/2011/03/17/autos/gm_suspends_production_japan_supply_shortage/index.htm
japan-triple-disaster-2011,USA,automotive,6,output_loss,Toyota NA plants cut to 30% capacity; reduced schedule Apr 15–Jun 3; all 13 N. American plants on overtime ban,https://pressroom.toyota.com/toyota-timeline-restoring-normal-production-april-2011/
japan-triple-disaster-2011,KOR,automotive,2,price_rise,Hyundai Securities: diverted demand; Korean OEM shares rose as Japanese rivals lost sales,https://money.cnn.com/2011/03/15/autos/autos_japan_earthquake.fortune/index.htm
japan-triple-disaster-2011,GBR,automotive,5,shutdown,Toyota halts 5 European plants for several days Apr-May 2011 due to parts shortage,https://www.rte.ie/news/business/2011/0413/299804-japan-business/
renesas-naka-fire-2021,JPN,automotive,4,output_loss,"Toyota, Honda, Nissan 'very unstable production in April and May' (Tokai Tokyo analyst); chip shipments to Tier 1 fall ~4 wks after fire; Nissan -250k FY21",https://www.reuters.com/business/autos-transportation/japan-car-makers-scramble-assess-impact-renesas-auto-chip-plant-fire-2021-03-22/
renesas-naka-fire-2021,USA,automotive,4,output_loss,"GM, Ford, VW urge US govt aid; IHS: 1.3M fewer vehicles Q1 2021; GM Fairfax idled; Renesas ~30% of global auto MCU market",https://supplychaindigital.com/supply-chain-risk-management/chip-maker-renesas-shifts-production-following-factory-fire
renesas-naka-fire-2021,DEU,automotive,4,output_loss,"Volvo, Mercedes, VW line stoppages documented; Renesas 30% auto MCU market share means all OEM regions exposed",https://www.eenewseurope.com/en/renesas-fire-exacerbates-chip-shortage-for-auto-industry-3/
