perplexity_slug,engine_slug,geds_node,target_class,value_pct,baseline_type,confidence,usability,status,source,measurement_window,note
japan-triple-disaster-2011,japan-triple-disaster-2011,JPN:automotive,source_sector_output,0.601,yoy,high,direct,measured,"JAMA official monthly release (2011-05-31), Japan domestic vehicle production",Apr 2011,Node-level peak. Engine's current observed=0.039 is a GLOBAL-ANNUAL figure; this is JPN domestic monthly peak.
eu-energy-crisis-2021,eu-energy-crisis-2021,DEU:automotive,source_sector_output,0.443,yoy,high,direct,measured,"VDA revised series (Domestic Production, passenger cars), Germany Oct 2021: 214233 vs 384540 in Oct 2020",Oct 2021,German auto output peak monthly decline. CORRECTED 2026-07 from 0.380 to 0.443: the earlier value came from a VDA provisional release; the revised VDA monthly series (data/raw/external/vda_germany_monthly_2026-07.xlsx) measures -44.3% YoY. Energy-crisis shock node is DEU:automotive.
shanghai-lockdown-2022,shanghai-lockdown-2022,CHN:automotive,source_sector_output,0.461,yoy,high,direct,measured,CAAM Brief Analysis Apr 2022 via OICA,Apr 2022,China vehicle production peak monthly decline.
wuhan-lockdown-2020,wuhan-lockdown-2020,CHN:automotive,source_sector_output,0.790,yoy,high,direct,measured,CAAM official statistics Feb 2020 (corroborated China Daily / Al Jazeera),Feb 2020,China vehicle production Feb 2020 -79% YoY — depth of the first COVID lockdown.
thailand-floods-2011,thailand-floods-2011,THA:automotive,source_sector_output,0.875,yoy,medium,direct,measured,UNESCAP/ARTNeT citing BOT/FTI auto production index (444.5 -> 62.5),Nov 2011,"Derived index, not a direct METI/BOT primary release -> medium confidence."
suez-canal-2021,suez-canal-2021,CP:Suez,chokepoint_throughput,1.000,vs_capacity,high,chokepoint,measured,"Suez Canal Authority — complete blockage, zero transits 6 days",Mar 23-29 2021,Total closure = 100% throughput loss.
red-sea-crisis-2023,red-sea-crisis-2023,CP:Suez,chokepoint_throughput,0.410,yoy,high,chokepoint,measured,SCA Chairman Osama Rabie official statement (cargo tonnage),Jan 1-11 2024,Suez cargo tonnage -41% YoY during the rerouting peak.
panama-canal-drought-2023,panama-canal-drought-2023,CP:Panama,chokepoint_throughput,0.389,vs_capacity,high,chokepoint,measured,ACP FY2024 transit statistics (22 vs 36 daily transits),FY2024,Daily transits cut from 36 to 22.
rhine-drought-2018,rhine-drought-2018,DEU:automotive,logistics_throughput,0.270,yoy,high,logistics_proxy,measured,CCNR Annual Market Observation Report 2019,Q3 2018,Rhine waterway freight -27%. No dedicated Rhine node; proxied to DEU:automotive input bottleneck.
yantian-port-2021,yantian-port-closure-2021,CHN:shipping,facility_throughput,0.800,vs_capacity,medium,facility_proxy,measured,YICT/Hutchison Ports operational updates; Maersk advisory,May-Jun 2021,"Terminal-level (~20-30% running). Engine node is all-CHN shipping, so facility-level overstates the node."
ningbo-port-2021,ningbo-port-closure-2021,CHN:shipping,facility_throughput,0.100,vs_prior_month,high,facility_proxy,measured,Ningbo-Zhoushan Port Group official statement (China Daily),Aug 2021,Port-group throughput -10% MoM (Meishan = 1 of 4 terminals). Not in engine event set yet.
renesas-naka-fire-2021,renesas-naka-fire-2021,JPN:semiconductors,facility_capacity,1.000,vs_capacity,high,facility_proxy,measured,Renesas (TSE:6723) timely-disclosure filings,Mar 19-Apr 17 2021,"100% is the N3 300mm LINE only; N2 200mm line unaffected and other JPN fabs run. Facility, not national-sector index."
malaysia-semiconductor-2021,malaysia-semiconductor-2021,MYS:semiconductors,national_index_proxy,0.065,yoy,medium,national_proxy,measured,"DOSM Malaysia IPI, Jul 2021",Jul 2021,"FULL manufacturing index (-6.5%), NOT semiconductors. E&E sub-sector actually +8.6% YoY by Aug 2021 -> the semi target is effectively ~null."
