dataset_id,dataset_name,provider,category,description,coverage_start,coverage_end,update_frequency,geographic_scope,variables,format,api_available,download_url,citation,limitations,confidence
1,UN Comtrade,United Nations Statistics Division,trade,"Merchandise trade (imports/exports) by commodity, partner, and flow direction at HS 6-digit level. Most comprehensive bilateral trade dataset globally.",1962,2024,Monthly/Annual,200+ countries,"Reporter, partner country, HS commodity code, trade value (USD), net weight (kg), quantity, year, flow direction","CSV, JSON, XML",Yes,https://comtradeplus.un.org,United Nations Statistics Division. UN Comtrade Database. comtradeplus.un.org,"Free API: 500 calls/day, 250 records/call. Premium for bulk. Pre-2017 data in Comtrade Legacy. Reporting gaps for smaller economies",5
2,BACI — Bilateral Trade Flows,CEPII (Centre d'Études Prospectives et d'Informations Internationales),trade,Harmonized bilateral trade flows reconciling FOB exporter and CIF importer figures using mirror statistics. Cleaner than raw Comtrade.,1995,2022,Annual,"200 countries, 5,000+ HS6 products","Exporter, importer, HS6 product code, value (USD thousands), quantity (tonnes)","CSV, Stata (.dta)",No,https://www.cepii.fr/CEPII/en/bdd_modele/bdd_modele_item.asp?id=37,"Gaulier, G. & Zignago, S. (2010). ""BACI: International Trade Database at the Product-Level."" CEPII Working Paper 2010-23",Annual lag of ~2 years; no services trade; no real-time updates,3
3,WITS — World Integrated Trade Solution,World Bank / UNCTAD,trade,"Portal integrating UN Comtrade, UNCTAD TRAINS, WTO IDB. Enables tariff + trade query in one interface.",1988,2024,Annual,200+ economies,"Imports/exports by HS/SITC, tariff rates (MFN, preferential), NTMs, trade competitiveness indicators","CSV, Excel, XML, JSON",Yes,https://wits.worldbank.org,World Bank. World Integrated Trade Solution. wits.worldbank.org,Not a primary data source — aggregates others. Some coverage gaps. API limited to UNCTAD TRAINS subset,4
4,WTO Tariff & Trade Data (TTD),World Trade Organization,trade,"Applied tariffs, bound duties, and import/export statistics at HS-6 or HS line level for 150+ WTO members.",1996,2024,Annual,150+ WTO members,"Applied MFN tariff, bound tariff, preferential tariff, import value, export value, HS code, reporter, partner",CSV (zipped bulk),Yes,https://ttd.wto.org/en/download,World Trade Organization. Tariff & Trade Data. ttd.wto.org,Data depends on WTO member notifications; some countries lag years. Bound tariffs static.,4
5,Harvard Growth Lab — Atlas of Economic Complexity (SITC Rev.2 & HS),Harvard Growth Lab,trade,Cleaned bilateral trade flows using Bustos-Yildirim mirror-flow correction. Multiple HS and SITC revisions.,1962,2022,Annual,250 countries,"Exporter, importer, product code, trade value, Economic Complexity Index (ECI), Product Complexity Index (PCI)",CSV,No,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/H8SFD2,"The Growth Lab at Harvard University. International Trade Data (SITC, Rev.2). Harvard Dataverse. doi:10.7910/DVN/H8SFD2",Free access requires Dataverse registration; large file sizes,2
6,Global Trade Alert (GTA),St. Gallen Endowment for Prosperity Through Trade (SGEPT),trade,"Independent database of unilateral commercial policy interventions (tariffs, subsidies, export restrictions, FDI barriers) — not government self-reported. 78,000+ documented interventions.",2008,,Continuous (real-time),243 customs territories,"Intervention type (Red/Amber/Green), implementing country, affected sectors, HS products, partner countries, date implemented/removed",CSV (bulk export),Yes,https://www.globaltradealert.org/data_extraction,"Evenett, S.J. (ed.). Global Trade Alert. globaltradealert.org",Some interventions may not be discovered immediately; classification can be contested,3
7,CEPII Gravity Dataset,CEPII,trade,"Bilateral gravity data for all country pairs: GDP, population, distance, shared language, colonial ties, trade agreements. For gravity model estimation.",1948,2020,Periodic updates,All world country pairs,"Bilateral distance, contiguity, colonial history, common language, FTAs, GDP, population, trade flows","CSV, Stata",No,https://www.cepii.fr/CEPII/en/bdd_modele/bdd_modele.asp,"Head, K., Mayer, T., & Ries, J. (2010). ""The Erosion of Colonial Trade Linkages after Independence."" CEPII WP 2009-07",Not trade flows data itself; must be merged with Comtrade/BACI,2
8,IMF World Economic Outlook (WEO) Database,International Monetary Fund,macroeconomics,"Semiannual macroeconomic database: GDP, inflation, unemployment, current account, fiscal indicators, projections. 45 indicators, ~200 countries.",1980,,Biannual (April & October),~200 countries and country groups,"Real GDP, GDP growth, inflation (CPI), unemployment, current account balance, fiscal balance, gross debt, trade balance, FX reserves","TSV/XLS, SDMX, CSV",Yes,https://www.imf.org/en/publications/sprolls/world-economic-outlook-databases,International Monetary Fund. World Economic Outlook Database. imf.org/en/publications/sprolls/world-economic-outlook-databases,Vintage data: download URL changes each release cycle; annual frequency only for most series,5
9,World Development Indicators (WDI),World Bank,macroeconomics,"Flagship World Bank statistical database: 1,400+ indicators, economic + social + environmental. Near-real-time updates.",1960,,Quarterly,217 economies,"GDP (nominal/PPP), GDP per capita, GDP growth, trade (% of GDP), FDI, inflation, poverty headcount, Gini, external debt","CSV, Excel",Yes,https://data.worldbank.org,World Bank. World Development Indicators. databank.worldbank.org,Some indicators sparse for low-income countries; significant lags in national account revisions,4
10,OECD National Accounts & GDP,OECD,macroeconomics,"Harmonized national accounts data: GDP components (expenditure, income, production), quarterly and annual. OECD members + key partners.",1970,,Quarterly,38 OECD + ~20 partner economies,"GDP, gross fixed capital formation, household consumption, government expenditure, exports/imports of goods and services, value added by sector","CSV, XML, JSON",Yes,https://data-explorer.oecd.org,OECD (2026). OECD National Accounts Statistics. doi:10.1787/na-data-en,Coverage primarily OECD countries; methodological revisions create breaks in series; limited sub-annual data for many countries,4
