param_id,symbol,description,calibrate_or_fix,prior_specification,bound_lo,bound_hi,prior_family,prior_hyperparams,literature_basis,evidence_strength
P1,β,SEIR-analogue transmission/diffusion rate,CALIBRATE,"LogNormal(μ=ln(0.15),σ=0.5)",0.01,0.90,LogNormal,"μ=ln(0.15), σ=0.50","Analogous to COVID-19 β estimates 0.1–0.4; economic contagion literature Cerra & Saxena (2020, IMF WP/20/73)",MODERATE — indirect analogy
P2,γ,Recovery rate (inverse of recovery duration),CALIBRATE,"LogNormal(μ=ln(0.1),σ=0.6)",0.005,0.50,LogNormal,"μ=ln(0.10), σ=0.60","Inoue & Todo (2019, firm-level propagation after Tōhoku earthquake): 6–18 month recovery horizons",STRONG
P3,δ_i,Shock depth per sector/node i,CALIBRATE,"Beta(α=2,β=5) → (0,1)",0.01,0.99,Beta,"α=2, β=5","Barrot & Sauvagnat (2016, QJE), Carvalho et al. (2021): direct output loss shares estimated from firm-level data",STRONG
P4,λ_i,Recovery speed per shocked node,CALIBRATE,"Gamma(k=2,θ=0.05)",0.01,2.00,Gamma,"k=2, θ=0.05","Inoue & Todo (2022, RIETI DP 22-E-059): calibrated recovery dynamics for Japanese firms after large shocks",MODERATE
P5,n_i,Target inventory buffer (weeks of production),CALIBRATE (sector-level shared),"LogNormal(μ=ln(4),σ=0.5)",1,52,LogNormal,"μ=ln(4), σ=0.50","Hamid et al. (2024, differentiable supply-chain shocks model): n_i primary free parameter; industry inventory turnover statistics",STRONG
P6,τ_i,Order adjustment speed,CALIBRATE (sector-level shared),"Gamma(k=3,θ=0.5)",0.5,8.0,Gamma,"k=3, θ=0.5","Lee et al. (1997, Sloan Management Review), Disney & Towill (2003): bullwhip effect order-adjustment lags",MODERATE
P7,α_BW,Bullwhip amplification scaling,CALIBRATE,"HalfNormal(σ=1.0) truncated >1",1.0,10.0,"HalfNormal(σ=1)","lower bound=1.0","Lee et al. (1997): empirical order-variance amplification 2–10× across echelons",STRONG
P8,ξ,SEIRS re-susceptibility rate,FIX at 0 (plain SEIR),Fixed=0,0,0,Dirac(0),N/A,"No published calibration for economic SEIRS re-infection analog; mechanism unsupported in current literature",ABSENT — fix to 0
P9,A_ij,OECD ICIO Leontief technical coefficients,FIX — from OECD ICIO 2021,Fixed from data,0,1,N/A,Data-driven,"Acemoglu et al. (2012, Econometrica), Baqaee & Farhi (2019, QJE), OECD ICIO 2021 tables: coefficients are directly observed",VERY STRONG
P10,ψ,Hysteresis persistence coefficient,CALIBRATE,"Beta(α=2,β=3) → (0,1)",0.0,0.95,Beta,"α=2, β=3","Cerra, Fatás & Saxena (2020, IMF WP/20/73): GDP paths 1–3% below pre-crisis in 60–70% of episodes",MODERATE — model-specific mapping uncertain
P11,σ_obs,Observation noise / measurement error,CALIBRATE,"HalfNormal(σ=0.1)",0.001,0.50,HalfNormal,"σ=0.10","Gelman et al. (2013, Bayesian Data Analysis); scale from IMF WEO GDP revision magnitudes (~0.5–1.5 ppts)",STANDARD PRACTICE
