model_id,model_name,category,description,inputs,outputs,advantages,limitations,computational_complexity,interpretability_qualitative,data_requirements,implementation_difficulty,score_prediction_accuracy,score_interpretability,score_scalability,score_robustness,score_runtime,score_data_requirements,score_research_support,score_expected_geds_value,evidence_source
1,Leontief Input-Output (I-O),economic_models,"Equations: Static:  where  = total output vector (n×1),  = technical coefficients matrix (n×n),  = final demand vector,  = Leontief inverse. Shock: . Price model:  →. Assumptions: (1) Linear production technology; (2) fixed input proportions (no substitution); (3) supply always equals demand; (4) si","BEA US I-O Tables; OECD ICIO (76 countries, 45 sectors); WIOD; national statistical office I-O tables",Sector output multiplier; Leontief multiplier; Domar weights; GDP impact (%) per $1 shock; output elasticity; backward/forward linkage measures,Closed-form analytical solution; highly transparent,No dynamics; no substitution,"LOW (closed-form, < 1s for 200 nodes)","HIGH (closed-form, exact multipliers)","OECD ICIO (76 countries × 45 sectors), BEA US I-O Tables, WIOD",Easy (~2 days),6,10,8,7,9,5,10,9,method_catalog.csv id=1; benchmark-comparison docx Table 0 row 1
2,Linear Network Diffusion,linear_models,"Equations: Adjacency diffusion:  where  = shock state vector at time ,  = row-normalized weighted adjacency matrix (trade/I-O weights),  = external shock injection. Spectral: ; convergence when  (spectral radius). Network effect:. Assumptions: (1) Shocks propagate linearly through network edges; (2)",Simple to implement; directly interpretable; analytically tractable; spectral properties reveal systemic nodes; generalizes Leontief,No non-linearities; no threshold cascades; assumes time-invariant weights; underestimates amplification from hub failures; no feedback between shock propagation and network weights,E,)) per iteration for sparse networks; for dense,MEDIUM,"HIGH (closed-form, exact multipliers)","UN Comtrade adjacency (already ingested), OECD ICIO, BIS interbank, BACI bilateral",Easy (~1 days),7,9,9,7,10,4,8,9,method_catalog.csv id=2; benchmark-comparison docx Table 0 row 2
3,Agent-Based Model (ABM),agent_based_models,"Equations: No closed-form. Micro-level rules: firm  updates production  based on orders received, inventory, and supplier availability:  where  = demand from buyer ,  = capacity,  = buffer stock. Supply chain failure: if , firm triggers upstream delay signal. GDP loss:. Assumptions: (1) Bounded rati",RIETI Japan interfirm network (1M firms); Tokyo Shoko Research; FactSet/Orbis global supply chain; OECD ICIO for sector-level ABM,GDP loss % (mean ± σ from MC); production recovery time (months); cascade size distribution; spatial propagation speed; comparison vs observed post-disaster output data,Captures non-linear dynamics; entry/exit,No closed-form solution; hard to calibrate,MEDIUM-HIGH (N runs × base model),MEDIUM (mechanistic but stochastic),"RIETI Japan interfirm (~1M firms; restricted), FactSet/Orbis (paid), OECD ICIO (free)",Hard (~30 days),8,6,4,6,3,9,9,7,method_catalog.csv id=3; benchmark-comparison docx Table 0 row 3
4,Graph Neural Network (GNN / TGNN),graph_neural_networks,"Equations: Node update (GCN):  where ,  = diagonal degree matrix,  = node feature matrix,  = trainable weight matrix. Temporal extension (GConvGRU):  where  = update gate using graph convolution,  = candidate hidden state. Classification output:. Assumptions: (1) Country/firm = node; bilateral trade",E,\cdot d)). For 183 countries × 54 snapshots (EconoGNN): feasible on single GPU. Large firm-level networks require distributed computing,E,"\cdot d \cdot L)) per epoch where  = feature dimension,  = layers; Inference: (O(",MEDIUM,"LOW (deep learning, post-hoc only)",EconoGNN replication data (UN Comtrade 1996–2019 × 183 countries × PWT features),Hard (~21 days),8,3,6,5,4,9,7,6,method_catalog.csv id=4; benchmark-comparison docx Table 0 row 4
5,Dynamic Bayesian Network (DBN),network_models,"Equations: Joint default probability (DAG structure):  where  = ratio of assets to liabilities conditioned on surviving creditors ,  = standard normal CDF. Time-slice DBN:. Assumptions: (1) Default variables form Bayesian network on directed acyclic liability graph; (2) asset values follow geometric",Dow Jones 9-sector daily indices; ECB/Bundesbank interbank exposure data; BoE balance sheet data; ECB EBA stress test cross-holdings,AUC for default prediction; Brier score; log-likelihood of default events; systemic impact measure ASI/RSI; conditional default probability accuracy vs realized defaults,Principled probabilistic framework; conditional independence detection via d-separation,Structure learning from data is NP-hard in general; acyclicity assumption may be violated in interbank networks,MEDIUM,"HIGH (conditional probabilities, d-separation)",Balance-sheet data (BoE / ECB / Bundesbank) — partly restricted,Medium (~14 days),,9,4,7,5,7,7,5,method_catalog.csv id=5; benchmark-comparison docx Table 0 row 5
6,Network Contagion Model (SIR-type / Gai-Kapadia),network_models,"Equations: Epidemic SIR on network: , , . Financial Gai-Kapadia cascade: node  defaults if  (assets below threshold). Default propagates: . Phase transition: epidemic threshold ; below , contagion self-extinguishes; above, global cascade. Assumptions: (1) Agents are either susceptible, infected, or ",BEA I-O (for economic SEIR); US COVID infection data + NIPA (Eichenbaum et al.); UK/ECB interbank network data; WDI macro aggregates,(basic reproduction number); cascade probability; fraction of nodes infected at steady state; cascade size distribution; survival probability at different connectivity levels; GDP loss % (economic SEIR version),Closed-form threshold condition (); analytically tractable for generating function approach,SIR: homogeneous mixing assumption violated in heterogeneous economic networks; single recovery rate,MEDIUM-HIGH (N runs × base model),"HIGH (closed-form, exact multipliers)",Network topology (already in graph.snapshot); thresholds (literature-derived),Easy (~5 days),7,10,8,6,8,6,10,8,method_catalog.csv id=6; benchmark-comparison docx Table 0 row 6
7,Temporal Graph Model (TGN / TGAT),graph_neural_networks,"Equations: TGN memory update:  where  = message from interaction,  = memory state. Message function: . Embedding: . TGAT: attention over temporal neighbors with time-encoding. Assumptions: (1) Continuous-time event streams (vs discrete snapshots); (2) memory modules capture persistent node state; (3","Models asynchronous event streams (trade invoices, conflict events); better than snapshots for high-frequency signals; persistent memory captures long-range dependencies; strong benchmark results",TGAT: high GPU memory demand; OOM on large graphs; TGN: hyperparameter sensitive; no economic theory encoded; temporal leakage risk in training/test split; limited interpretability,E,\cdot d \cdot L)); TGN generally outperforms TGAT on medium/large datasets,MEDIUM,"LOW (deep learning, post-hoc only)",TGB 2.0 datasets; UN Comtrade time-series edges (custom prep),Hard (~28 days),7,2,5,4,3,9,6,5,method_catalog.csv id=7; benchmark-comparison docx Table 0 row 7
8,XGBoost (Gradient-Boosted Trees),machine_learning,"Equations: ,  (regression trees). Objective:  where ,  = leaves,  = leaf weights. Second-order Taylor expansion:  where ,. Assumptions: (1) Tabular feature vector per observation (no graph structure); (2) weak learner = depth-limited tree; (3) greedy split search; (4) i.i.d. observations within trai",35-country macro panel 1970–2022 (78 financial/economic indicators); IMF WEO; FRED; BIS; Indonesia Stock Exchange financial ratios,"Systemic crisis early warning: AUROC = 0.97, substantially outperforms logistic regression. Financial distress (corporate): XGBoost F1 consistently top-2 vs LSTM/RF/SVM. Economic cycle forecasting: MOLA-XGBoost outperforms baselines in directional accuracy",Highest single-model accuracy on tabular macroeconomic data; handles missing values natively,No structural/network information; no temporal dynamics beyond engineered features,"LOW (closed-form, < 1s for 200 nodes)",MEDIUM (SHAP feature importance),FRED + IMF WEO + BIS (all HIGH priority in dataset_priority.csv),Easy (~5 days),9,6,9,7,9,5,9,8,method_catalog.csv id=8; benchmark-comparison docx Table 0 row 8
9,Random Forest (RF),machine_learning,"Equations: Ensemble of  CART trees:  where  = random feature subset and bootstrap sample. Feature importance: . Gini importance:. Assumptions: (1) Each tree trained on bootstrap sample with random feature subspace ( features); (2) trees fully grown (no pruning); (3) independence of trees (by design,",Same as XGBoost benchmarks above; FDIC bank failure data; 35-country macro panel; BIS early warning indicators dataset,"Bank failure prediction: RF AUROC = 0.94 vs XGBoost 0.96 in some benchmarks. Systemic crisis: AUROC ~0.94–0.96 (slightly below XGBoost). Feature importance: GDP growth, trade volume, investment trends identified as top predictors",Robust to outliers; low variance via averaging,Lower accuracy than XGBoost on structured tabular data in most benchmarks; no native handling of temporal dependencies,MEDIUM,MEDIUM (SHAP feature importance),Same as XGBoost,Easy (~3 days),8,6,8,8,7,5,8,7,method_catalog.csv id=9; benchmark-comparison docx Table 0 row 9
10,Monte Carlo Simulation (MCS),hybrid_models,"Equations: No single equation; draws on specified distributions. General form: , . Economic application (Acclimate/Inoue ABM): repeat ABM simulation  times with randomized initial conditions; . GBM asset path: , paths averaged over  draws. Assumptions: (1) Probability distributions for all uncertain",OECD ICIO + disaster scenarios (Acclimate); Russia-Ukraine ICIO + FAO grain data (Shi et al. 2024); US interbank exposure matrices (Gai & Kapadia); Compustat firm distributions (Battiston et al.),"Inoue & Todo: GDP loss 10.6% ± 0.8% (Nankai Trough scenario). Shi et al.: textile loss 17.04% ± 0.72%, food-processing 16.85% ± 0.5% (Russia-Ukraine grain shock). Typical: MAPE, VaR/CVaR at 95%, mean output loss and σ",Provides full uncertainty distribution (not just point estimates); natural 95% CI around GDP impact predictions,Computationally expensive for complex models; convergence slow for tail events (rare disasters),MEDIUM,MEDIUM (mechanistic but stochastic),Any underlying model's input distributions,Easy (~4 days),8,7,4,9,3,6,10,9,method_catalog.csv id=10; benchmark-comparison docx Table 0 row 10
