paper_id,title,authors,year,journal,doi,citation_count,research_area,methodology,dataset_used,main_findings,limitations,relevance_to_geds,confidence,source
1,Leontief Input-Output Models,,,,,,input_output_economics,,,UMD Math Department,,,2,docx 'GEDS Benchmark Model Comparison' references list
2,A Comparative Exposition of Leontief's Input-Output Analysis ...,,,,,,input_output_economics,,,arXiv,,,3,docx 'GEDS Benchmark Model Comparison' references list
3,Propagation of economic shocks in input-output networks,,,,,,input_output_economics,,,This paper investigates how economic shocks propagate and amplify through the input-output network c...,,,2,docx 'GEDS Benchmark Model Comparison' references list
4,Propagation of economic shocks in input-output networks,,,,,,input_output_economics,,,EconStor - This paper investigates how economic shocks propagate and amplify through the input- output network ...,,,2,docx 'GEDS Benchmark Model Comparison' references list
5,How Economic Shocks Propagate Through Space and Networks,,,,,,shock_propagation_theory,,,"Network economics models outcomes as functions of graph structure, using adjacency matrices A where ...",,,2,docx 'GEDS Benchmark Model Comparison' references list
6,Rapporto n. 196 Shock propagation and the topology of complex ...,,,,,,shock_propagation_theory,,,Abstract. In this work we propose a model in order to study shocks propaga- tion in complex networks...,,,2,docx 'GEDS Benchmark Model Comparison' references list
7,Firm-level propagation of shocks through supply-chain networks,,,,,,supply_chain_propagation,,,"This study focuses on supply chains, or supplier–customer networks of firms and examines how these s...",,,5,docx 'GEDS Benchmark Model Comparison' references list; cross-ref to papers_catalog.csv id=14
8,Acclimate - a model for economic loss propagation,,2017,,,,agent_based_simulation,,,"Otto C, Willner SN, Wenz L, Frieler K, Levermann A. (2017). Modeling loss-propagation in the global ...",,,2,docx 'GEDS Benchmark Model Comparison' references list
9,Agent Based Models and Complexity,,,,,,economic_complexity,,,"o Agent based Computational Economics (ACE), o Analytically Solvable HIA (ASHIA) models based on sta...",,,2,docx 'GEDS Benchmark Model Comparison' references list
10,An Agent-Based Extension to Sector-Wise Input-Output Recovery ...,,,,,,input_output_economics,,,"Here, we introduce an adaptive extension to dynamic input-output recovery models where producers res...",,,2,docx 'GEDS Benchmark Model Comparison' references list
